scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,reputation_learning_rate,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq2_lr_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,1,3116.0675198057793,0.7790168799514454,24928.540158446234,6.232135039611563,268.3922553937369,72034.4027553369,0.048469493026419785,0.375,1.5612781244591325,3,0.3421875,1.8987522239776584,3.94675,12.4,24671.459841553766,0.17109375,1.0
sq2_lr_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,7,3083.538315905353,0.7708845789763383,24668.306527242825,6.167076631810707,258.5079505850672,66826.36051569153,0.04649739097443706,0.25,2.25,5,0.34103125,1.9017760966375592,3.95325,12.4,24931.693472757175,0.17690625,1.0
sq2_lr_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,21,3093.150710810102,0.7732876777025266,24745.205686480815,6.186301421620213,322.9363197350802,104287.86660403795,0.05848144281175771,0.375,1.9056390622295662,4,0.34540625,1.8969198915435461,3.95275,12.4,24854.794313519185,0.17403125,1.0
sq2_lr_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,42,3119.1765939373986,0.7797941484843495,24953.41275149919,6.238353187874796,415.0908476899249,172300.4118359404,0.07397172175467692,0.25,2.0,4,0.35496875,1.8898377493611844,3.94825,12.4,24646.58724850081,0.1765625,1.0
sq2_lr_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,84,3182.9219199587133,0.7957304799896785,25463.375359669706,6.365843839917428,256.0350859145552,65553.96521927368,0.04556322476252905,0.375,1.9056390622295662,4,0.3318125,1.9131824908024555,3.96075,12.4,24136.624640330294,0.17359375,1.0
sq2_lr_global_malicious_lr_0.05,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.05,1,3146.529371648344,0.7866323429120863,25172.23497318675,6.29305874329669,283.35674840156076,80291.04686470541,0.050733397875611264,0.25,2.0,4,0.3413125,1.896178070073166,3.93625,12.4,24427.76502681325,0.17209375,1.6013173138278063
sq2_lr_global_malicious_lr_0.05,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.05,7,3143.2463725224184,0.7858115931306048,25145.970980179347,6.286492745044838,249.16470884341507,62083.052133023804,0.04344361319801626,0.25,2.0,4,0.3359375,1.9123151966548668,3.97075,12.4,24454.029019820653,0.177,1.5968857070087694
sq2_lr_global_malicious_lr_0.05,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.05,21,3187.4347637658316,0.7968586909414576,25499.478110126653,6.3748695275316605,352.09918337346056,123973.83493225781,0.062224762746202256,0.25,2.0,4,0.33909375,1.9082846497663453,3.96925,12.4,24100.521889873347,0.173625,1.617572738203911
sq2_lr_global_malicious_lr_0.05,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.05,42,3109.844040172915,0.777461010043229,24878.75232138332,6.219688080345832,424.5573438816097,180248.93824380738,0.07528923361335838,0.375,1.9056390622295662,4,0.35284375,1.899270269685313,3.973,12.4,24721.24767861668,0.17759375,1.6298837148618195
sq2_lr_global_malicious_lr_0.05,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.05,84,3194.8952637876564,0.7987238159469138,25559.16211030125,6.38979052757531,222.0660828768247,49313.34516425678,0.038997574016298664,0.375,1.5612781244591325,3,0.32509375,1.9354172293089136,4.01825,12.4,24040.83788969875,0.17275,1.5933026877546272
sq2_lr_global_malicious_lr_0.1,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.1,1,3094.9559242665455,0.7737389810666375,24759.647394132364,6.1899118485331,257.11242264327825,66106.79787749573,0.04640811537788747,0.25,2.0,4,0.335375,1.924546776348046,4.01175,12.4,24840.352605867636,0.17340625,1.6324447409987513
